,TrainLossA,PubtestLossA,PritestLossA
0,1.4768770946620282,0.09421974372800661,0.09508642554283142
1,1.2124841273421272,0.09458322301984465,0.0940861776471138
2,1.2099018190043094,0.09407315831491296,0.09570593386888504
3,1.2095196641860007,0.09405355409564133,0.09579966217279434
4,1.2100228169154283,0.09406826274579001,0.09571050107479095
5,1.2099625331651451,0.09406656975964046,0.09572798758745193
6,1.209575292571583,0.094062590202969,0.09574268758296967
7,1.2098846141556048,0.0940647859714861,0.09573030471801758
8,1.2096534837554365,0.09407975734957548,0.09565247595310211
9,1.2094041120226138,0.09406586115524343,0.09572307765483856
10,1.2093699675155727,0.09406544996374129,0.09572353959083557
11,1.2096218514731778,0.0940623197566503,0.0957440584897995
12,1.2095989572368318,0.0940709223352657,0.0956873893737793
13,1.2094883023486973,0.09406703585999096,0.09571751207113266
14,1.209631618287444,0.09406298294343733,0.0957380011677742
15,1.209431334841549,0.09406750156175928,0.09570639580488205
16,1.2096008629891344,0.09406863474752884,0.0957031100988388
17,1.209574425365157,0.09406816376454653,0.09571105986833572
18,1.2096872954941276,0.0940755194493674,0.09566990286111832
19,1.2094988291492055,0.09407279351256491,0.09567715972661972
